date,1. open,2. high,3. low,4. close,5. volume
2021-09-24 14:52:00,298.48,298.54,298.47,298.54,13048.0
2021-09-24 14:51:00,298.44,298.5398,298.44,298.46,14445.0
2021-09-24 14:50:00,298.4479,298.47,298.42,298.45,14177.0
2021-09-24 14:49:00,298.372,298.45,298.372,298.44,10100.0
2021-09-24 14:48:00,298.41,298.45,298.37,298.38,28060.0
2021-09-24 14:47:00,298.33,298.42,298.33,298.4101,10999.0
2021-09-24 14:46:00,298.24,298.35,298.2,298.32,24935.0
2021-09-24 14:45:00,298.27,298.2766,298.23,298.245,15311.0
2021-09-24 14:44:00,298.3,298.31,298.26,298.27,15201.0
2021-09-24 14:43:00,298.32,298.37,298.29,298.2901,17859.0
2021-09-24 14:42:00,298.375,298.44,298.28,298.317,26799.0
2021-09-24 14:41:00,298.38,298.42,298.36,298.38,18573.0
2021-09-24 14:40:00,298.3399,298.39,298.33,298.37,13977.0
2021-09-24 14:39:00,298.35,298.37,298.33,298.33,10246.0
2021-09-24 14:38:00,298.31,298.37,298.31,298.3501,11057.0
2021-09-24 14:37:00,298.31,298.32,298.28,298.32,18242.0
2021-09-24 14:36:00,298.27,298.3699,298.27,298.3,20336.0
2021-09-24 14:35:00,298.23,298.28,298.23,298.26,12191.0
2021-09-24 14:34:00,298.24,298.24,298.2,298.23,6317.0
2021-09-24 14:33:00,298.25,298.25,298.2,298.22,14468.0
2021-09-24 14:32:00,298.24,298.27,298.19,298.23,20306.0
2021-09-24 14:31:00,298.16,298.23,298.12,298.23,12978.0
2021-09-24 14:30:00,298.17,298.195,298.16,298.16,18924.0
2021-09-24 14:29:00,298.17,298.17,298.13,298.16,7431.0
2021-09-24 14:28:00,298.12,298.18,298.11,298.18,11719.0
2021-09-24 14:27:00,298.23,298.26,298.13,298.13,14949.0
2021-09-24 14:26:00,298.15,298.22,298.14,298.22,19384.0
2021-09-24 14:25:00,298.11,298.19,298.1,298.14,12163.0
2021-09-24 14:24:00,298.12,298.1398,298.1,298.1,17255.0
2021-09-24 14:23:00,298.14,298.16,298.1,298.13,13110.0
2021-09-24 14:22:00,298.165,298.18,298.12,298.1412,12938.0
2021-09-24 14:21:00,298.2,298.2,298.1318,298.15,17075.0
2021-09-24 14:20:00,298.21,298.21,298.16,298.17,14436.0
2021-09-24 14:19:00,298.19,298.22,298.18,298.205,20043.0
2021-09-24 14:18:00,298.16,298.24,298.16,298.19,14855.0
2021-09-24 14:17:00,298.2,298.23,298.14,298.17,14332.0
2021-09-24 14:16:00,298.17,298.23,298.17,298.2,8176.0
2021-09-24 14:15:00,298.19,298.2399,298.14,298.17,16473.0
2021-09-24 14:14:00,298.19,298.22,298.17,298.19,9760.0
2021-09-24 14:13:00,298.26,298.26,298.17,298.2,13144.0
2021-09-24 14:12:00,298.12,298.27,298.12,298.25,16346.0
2021-09-24 14:11:00,298.13,298.21,298.1,298.12,13658.0
2021-09-24 14:10:00,298.14,298.2056,298.1299,298.13,16907.0
2021-09-24 14:09:00,298.25,298.2546,298.12,298.13,22788.0
2021-09-24 14:08:00,298.36,298.36,298.25,298.25,26819.0
2021-09-24 14:07:00,298.39,298.4,298.3417,298.37,39509.0
2021-09-24 14:06:00,298.4,298.47,298.39,298.39,30809.0
2021-09-24 14:05:00,298.313,298.4,298.3001,298.4,45394.0
2021-09-24 14:04:00,298.24,298.32,298.24,298.32,14841.0
2021-09-24 14:03:00,298.31,298.31,298.19,298.24,19836.0
2021-09-24 14:02:00,298.26,298.34,298.22,298.3,13647.0
2021-09-24 14:01:00,298.2,298.31,298.19,298.26,14770.0
2021-09-24 14:00:00,298.27,298.27,298.2,298.21,17718.0
2021-09-24 13:59:00,298.25,298.27,298.19,298.27,26835.0
2021-09-24 13:58:00,298.31,298.31,298.22,298.24,34239.0
2021-09-24 13:57:00,298.35,298.39,298.27,298.31,38599.0
2021-09-24 13:56:00,298.4,298.4,298.335,298.35,19501.0
2021-09-24 13:55:00,298.45,298.46,298.36,298.4,16399.0
2021-09-24 13:54:00,298.51,298.536,298.44,298.44,20609.0
2021-09-24 13:53:00,298.48,298.54,298.45,298.516,15399.0
2021-09-24 13:52:00,298.49,298.53,298.44,298.49,10566.0
2021-09-24 13:51:00,298.53,298.55,298.46,298.48,12300.0
2021-09-24 13:50:00,298.53,298.57,298.51,298.52,12270.0
2021-09-24 13:49:00,298.54,298.58,298.5,298.53,12568.0
2021-09-24 13:48:00,298.5401,298.565,298.46,298.51,19750.0
2021-09-24 13:47:00,298.57,298.62,298.52,298.545,24994.0
2021-09-24 13:46:00,298.6299,298.6299,298.56,298.6021,8853.0
2021-09-24 13:45:00,298.57,298.63,298.57,298.62,29165.0
2021-09-24 13:44:00,298.52,298.58,298.52,298.58,23322.0
2021-09-24 13:43:00,298.51,298.535,298.4919,298.51,15048.0
2021-09-24 13:42:00,298.44,298.51,298.44,298.51,10959.0
2021-09-24 13:41:00,298.54,298.55,298.42,298.44,11973.0
2021-09-24 13:40:00,298.49,298.52,298.47,298.52,14403.0
2021-09-24 13:39:00,298.45,298.49,298.38,298.4759,16764.0
2021-09-24 13:38:00,298.34,298.45,298.34,298.45,16438.0
2021-09-24 13:37:00,298.35,298.415,298.31,298.36,28695.0
2021-09-24 13:36:00,298.41,298.43,298.34,298.36,14998.0
2021-09-24 13:35:00,298.46,298.4995,298.4,298.4032,15416.0
2021-09-24 13:34:00,298.47,298.49,298.44,298.4569,13952.0
2021-09-24 13:33:00,298.55,298.55,298.45,298.46,18634.0
2021-09-24 13:32:00,298.6416,298.6416,298.53,298.55,14141.0
2021-09-24 13:31:00,298.63,298.65,298.6,298.65,12089.0
2021-09-24 13:30:00,298.62,298.66,298.61,298.64,16195.0
2021-09-24 13:29:00,298.64,298.64,298.58,298.615,9012.0
2021-09-24 13:28:00,298.64,298.66,298.605,298.63,7314.0
2021-09-24 13:27:00,298.63,298.66,298.56,298.62,16589.0
2021-09-24 13:26:00,298.54,298.6399,298.52,298.62,8790.0
2021-09-24 13:25:00,298.56,298.61,298.54,298.55,5215.0
2021-09-24 13:24:00,298.58,298.6162,298.51,298.5531,17464.0
2021-09-24 13:23:00,298.3801,298.59,298.3801,298.59,14848.0
2021-09-24 13:22:00,298.42,298.43,298.37,298.38,14751.0
2021-09-24 13:21:00,298.44,298.4798,298.395,298.41,15575.0
2021-09-24 13:20:00,298.48,298.5,298.3849,298.44,10720.0
2021-09-24 13:19:00,298.45,298.46,298.4,298.46,11247.0
2021-09-24 13:18:00,298.5301,298.5402,298.42,298.435,44152.0
2021-09-24 13:17:00,298.69,298.69,298.57,298.58,8867.0
2021-09-24 13:16:00,298.73,298.76,298.62,298.685,28581.0
2021-09-24 13:15:00,298.77,298.79,298.7,298.7258,14363.0
2021-09-24 13:14:00,298.68,298.7999,298.67,298.76,37177.0
2021-09-24 13:13:00,298.59,298.66,298.59,298.6518,22650.0
2021-09-24 13:12:00,298.4351,298.59,298.4351,298.586,35375.0
2021-09-24 13:11:00,298.44,298.4999,298.36,298.41,17368.0
2021-09-24 13:10:00,298.435,298.47,298.43,298.43,14588.0
2021-09-24 13:09:00,298.5,298.52,298.4,298.43,29845.0
2021-09-24 13:08:00,298.5,298.51,298.4501,298.51,11455.0
2021-09-24 13:07:00,298.43,298.505,298.41,298.5005,13281.0
2021-09-24 13:06:00,298.39,298.45,298.33,298.44,41107.0
2021-09-24 13:05:00,298.5,298.5,298.37,298.3986,14887.0
2021-09-24 13:04:00,298.3884,298.545,298.3884,298.5,18655.0
2021-09-24 13:03:00,298.32,298.42,298.32,298.37,14864.0
2021-09-24 13:02:00,298.41,298.42,298.3096,298.3096,23052.0
2021-09-24 13:01:00,298.46,298.48,298.3793,298.39,16706.0
2021-09-24 13:00:00,298.39,298.4555,298.365,298.4541,17440.0
2021-09-24 12:59:00,298.3579,298.415,298.35,298.37,9069.0
2021-09-24 12:58:00,298.34,298.42,298.325,298.35,14381.0
2021-09-24 12:57:00,298.43,298.435,298.31,298.33,16598.0
